node_id;name;valid_dir;pk_rel;pk_abs;node_type;stop_slow;stop_fast;y;altitude;coord_x;coord_y;scenario;exclude_scenario
Pr_E_LASA_01;Prot. Est. Lasa 01;malles;44,387;75,87;signal_mainline;0;0;0;866,71;10,701547;46,615547;base;
Pr_I_LASA_91;Prot. Int. N3 Lasa 91;malles;44,488;75,971;signal_mainline;0;0;0;866,8;10,700482;46,615785;base;
PL27;PL27;;44,513;75,996;PL;0;0;0;866,82;10,70023;46,615867;base;
Pa_E_LASA_81;Part. Est. Lasa 81;merano;44,538;76,021;signal_mainline;0;0;0;866,84;10,699729;46,616053;base;
Pr_I_LASA_71;Prot. Int. N2 Lasa 71;malles;44,724;76,207;signal_mainline;0;0;0;867;10,697622;46,616883;base;
PL28;PL28;;44,752;76,235;PL;0;0;0;867;10,697322;46,617028;base;
Pa_I_LASA_61;Part. Int. N1 Lasa 61;merano;44,775;76,258;signal_mainline;0;0;0;867;10,69709;46,617159;base;
Pr_I_LASA_51;Prot. Int. N1 Lasa 51;malles;44,809;76,292;signal_mainline;0;0;0;867;10,696773;46,617363;base;
Dev_LASA_01;Deviatoio Lasa 01;;44,829;76,312;SC;0;0;0;867;10,696596;46,617485;base;
Pa_I_LASA_31;Part. Int. N1 Lasa 31;merano;44,945;76,428;signal_mainline;0;0;0;867;10,695587;46,618106;base;
LASA;Lasa;;44,962;76,445;LdS;1;1;0;867;10,6953;46,618296;base;
Pa_I_LASA_32;Part. Int. N2 Lasa 32;malles;45,102;76,585;signal_mainline;0;0;0;867;10,694091;46,619071;base;
Dev_LASA_02;Deviatoio Lasa 02;;45,188;76,671;SC;0;0;0;867;10,693128;46,619678;base;
Pr_I_LASA_52;Prot. Int. N1 Lasa 52;merano;45,238;76,721;signal_mainline;0;0;0;867,06;10,692648;46,619983;base;
Pa_I_LASA_62;Part. Int. N1 Lasa 62;malles;45,309;76,792;signal_mainline;0;0;0;867,21;10,691967;46,620417;base;
PL29;PL29;;45,335;76,818;PL;0;0;0;867,27;10,691716;46,620574;base;
Pr_I_LASA_72;Prot. Int. N2 Lasa 72;merano;45,382;76,865;signal_mainline;0;0;0;867,37;10,691253;46,620851;base;
Pa_E_LASA_82;Part. Est. Lasa 82;malles;45,499;76,982;signal_mainline;0;0;0;867,62;10,690004;46,621456;base;
Pr_E_LASA_02;Prot. Est. Lasa 02;merano;45,65;77,133;signal_mainline;0;0;0;867,94;10,688317;46,622159;base;
HD_701_01;HD 701/01;both;46,65;78,133;signal_mainline;0;0;0;870,1;10,676274;46,625269;base;
SblLasa46915;SblLasa46915;;46,915;78,398;Sbl;0;0;0;870,67;10,672864;46,625672;base;
HD_701_03;HD 701/03;both;47,65;79,133;signal_mainline;0;0;0;872,26;10,663313;46,62548;base;
Pr_E_ORIS_01;Prot. Est. Oris 01;malles;48,848;80,331;signal_mainline;0;0;0;874,84;10,647939;46,626288;base;
Dev_ORIS_01;Deviatoio Oris 01;;48,919;80,402;SC;0;0;0;874,95;10,647047;46,626463;base;
Pr_I_ORIS_71;Prot. Int. Oris 71;malles;48,949;80,432;signal_mainline;0;0;0;875;10,646822;46,626515;base;
PL30;PL30;;48,973;80,456;PL;0;0;0;875;10,646575;46,626561;base;
Pa_ORIS_31;Part. Oris 31;merano;48,998;80,481;signal_mainline;0;0;0;875;10,646288;46,626619;base;
ORIS;Oris;;49,02;80,503;LdS;1;0;0;875;10,645778;46,62671;base;
Pa_ORIS_32;Part. Oris 32;malles;49,147;80,63;signal_mainline;0;0;0;875,12;10,644202;46,627026;base;
Pr_E_ORIS_02;Prot. Est. Oris 02;merano;49,297;80,78;signal_mainline;0;0;0;875,78;10,642299;46,627391;base;
HD_702_02;HD 702/02;both;50,297;81,78;signal_mainline;0;0;0;880,18;10,62966;46,629577;base;
Pr_E_SPON_01;Prot. Est. Spondigna 01;malles;51,279;82,762;signal_mainline;0;0;0;884,51;10,617341;46,631481;base;
Pa_E_SPON_81;Part. Est. Spondigna 81;merano;51,451;82,934;signal_mainline;0;0;0;885,26;10,615385;46,632241;base;
Pr_I_SPON_71;Prot. Int. N2 Spondigna 71;malles;51,62;83,103;signal_mainline;0;0;0;886;10,61363;46,632964;base;
PL31;PL31;;51,644;83,127;PL;0;0;0;886;10,613423;46,63305;base;
Pr_I_SPON_51;Prot. Int. N1 Spondigna 51;malles;51,652;83,135;signal_mainline;0;0;0;886;10,613257;46,633122;base;
Pa_I_SPON_61;Part. Int. N1 Spondigna 61;merano;51,668;83,151;signal_mainline;0;0;0;886;10,613083;46,633194;base;
Dev_SPON_01;Deviatoio Spondigna 01;;51,672;83,155;SC;0;0;0;886;10,612913;46,633266;base;
Pa_I_SPON_31;Part. Int. N2 Spondigna 31;merano;51,789;83,272;signal_mainline;0;0;0;886;10,611635;46,633843;base;
SPON;Spondigna;;51,867;83,35;LdS;1;0;0;886;10,610797;46,634242;base;
Pa_I_SPON_32;Part. Int. Spondigna 32;malles;51,986;83,469;signal_mainline;0;0;0;886;10,609891;46,634669;base;
Dev_SPON_02;Deviatoio Spondigna 02;;52,061;83,544;SC;0;0;0;886;10,609014;46,635091;base;
Pr_I_SPON_52;Prot. Int. N1 Spondigna 52;merano;52,111;83,594;signal_mainline;0;0;0;886;10,608137;46,635476;base;
Pa_E_SPON_62;Part. Est. Spondigna 62;malles;52,429;83,912;signal_mainline;0;0;0;886,11;10,604564;46,636445;base;
PL32;PL32;;52,454;83,937;PL;0;0;0;886,12;10,604239;46,636553;base;
Pr_I_SPON_72;Prot. Int. N2 Spondigna 72;merano;52,48;83,963;signal_mainline;0;0;0;886,13;10,603731;46,636759;base;
Pr_E_SPON_02;Prot. Est. Spondigna 02;merano;52,58;84,063;signal_mainline;0;0;0;886,42;10,602708;46,637317;base;
HD_801_02;HD 801/02;both;53,58;85,063;signal_mainline;0;0;0;895,82;10,594735;46,64439;base;
HD_801_04;HD 801/04;both;54,58;86,063;signal_mainline;0;0;0;905,22;10,58963;46,652566;base;
SblSpon54860;SblSpon54860;;54,86;86,343;Sbl;0;0;0;907,85;10,588614;46,654978;base;
km86800;km86800;;55,317;86,8;km;0;0;0;912,15;10,587185;46,658969;base;
HD_801_06;HD 801/06;both;55,58;87,063;signal_mainline;0;0;0;914,62;10,585576;46,660997;base;
HD_801_07;HD 801/07;malles;56,027;87,51;signal_mainline;0;0;0;918,82;10,581965;46,663944;base;
SLU;Sluderno;;56,146;87,629;LdS;1;0;0;919;10,58153;46,664972;base;
HD_801_08;HD 801/08;merano;56,397;87,88;signal_mainline;0;0;0;922,55;10,581068;46,667196;base;
HD_801_10;HD 801/10;both;57,229;88,712;signal_mainline;0;0;0;942,13;10,574749;46,672914;base;
HD_801_12;HD 801/12;both;58,229;89,712;signal_mainline;0;0;0;965,67;10,563658;46,675921;base;
