"Data";"Template";"Treno";"OraP";"OraA";"Partenza";"Rit.";"Causale";"Nota partenza";"Arrivo";"Rit.";"Causale";"Nota arrivo";"Composizione";"Coincidenza";"Esito";"Causale soppressione";"Nota soppressione";"Verifica";"Chiusura"
"2019-01-02";"19-I";"122";"2019-01-02 15:20:00";"2019-01-02 16:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"217";"2019-01-02 15:46:00";"2019-01-02 16:55:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"123";"2019-01-02 16:16:00";"2019-01-02 17:38:00";"Meran/o";"2";"Ritardo da Bolzano";"";"Malles - Mals";"";"";"";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"124";"2019-01-02 16:20:00";"2019-01-02 17:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"222";"2019-01-02 17:03:00";"2019-01-02 18:13:00";"Malles - Mals";"";"";"";"Meran/o";"1";"Altre cause commerciali";"+1 (x) 123 Lasa; +2 (x) 221 Tel";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"125";"2019-01-02 17:16:00";"2019-01-02 18:38:00";"Meran/o";"2";"Ritardo da Bolzano";"";"Malles - Mals";"";"";"";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"126";"2019-01-02 17:20:00";"2019-01-02 18:43:00";"Malles - Mals";"";"";"";"Meran/o";"1";"Altre cause commerciali";"+2 (x) 127 Tel";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"221";"2019-01-02 17:46:00";"2019-01-02 18:55:00";"Meran/o";"2";"Ritardo da Bolzano";"";"Malles - Mals";"";"";"";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"127";"2019-01-02 18:16:00";"2019-01-02 19:38:00";"Meran/o";"4";"Ritardo da Bolzano";"";"Malles - Mals";"";"";"";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"128";"2019-01-02 18:20:00";"2019-01-02 19:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"226";"2019-01-02 19:03:00";"2019-01-02 20:13:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"129";"2019-01-02 19:16:00";"2019-01-02 20:38:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"130";"2019-01-02 19:20:00";"2019-01-02 20:39:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"131";"2019-01-02 19:46:00";"2019-01-02 20:55:00";"Meran/o";"";"";"";"Malles - Mals";"2";"Programmazione orario";"+2 (x) 130 Senales";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"132";"2019-01-02 20:20:00";"2019-01-02 21:39:00";"Malles - Mals";"";"";"";"Meran/o";"";"Altre cause commerciali";"+2 (x) 131 Lasa";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"133";"2019-01-02 20:46:00";"2019-01-02 21:55:00";"Meran/o";"2";"Coincidenze programmate";"";"Malles - Mals";"5";"Programmazione orario";"+3 (x) 132 Senales";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"134";"2019-01-02 21:20:00";"2019-01-02 22:39:00";"Malles - Mals";"";"";"";"Meran/o";"";"Altre cause commerciali";"+3 (x) 133 Lasa";"Singola";"NP";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"135";"2019-01-02 21:46:00";"2019-01-02 22:55:00";"Meran/o";"2";"Coincidenze programmate";"";"Malles - Mals";"";"Programmazione orario";"+2 (x) 134 Senales";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"137";"2019-01-02 22:50:00";"2019-01-02 23:58:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"100";"2019-01-03 05:20:00";"2019-01-03 06:30:00";"Malles - Mals";"";"";"";"Meran/o";"";"Programmazione orario";"+2 LUNGO LINEA";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"101";"2019-01-03 05:38:00";"2019-01-03 06:54:00";"Meran/o";"";"";"";"Malles - Mals";"";"Programmazione orario";"+2 LUNGO LINEA; +3 SEN (x)100; vedi 100";"Doppia";"NP";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"102";"2019-01-03 05:42:00";"2019-01-03 06:54:00";"Malles - Mals";"";"";"";"Meran/o";"";"Programmazione orario";"+2 LUNGO LINEA; +3 LAC (x)101; vedi 100";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"104";"2019-01-03 06:16:00";"2019-01-03 07:32:00";"Malles - Mals";"";"";"";"Meran/o";"";"Programmazione orario";"+4 LASA (x)104; +3 SEN (x)103; vedi100";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"103";"2019-01-03 06:38:00";"2019-01-03 07:54:00";"Meran/o";"";"";"";"Malles - Mals";"";"Programmazione orario";"+2 MAR (x)102; +2 MAR-LAC; +2 SIL(d)=202; vedi anche 100";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"202";"2019-01-03 07:03:00";"2019-01-03 08:13:00";"Malles - Mals";"";"";"";"Meran/o";"";"Programmazione orario";"+3 SIL (x)103";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"105";"2019-01-03 07:16:00";"2019-01-03 08:38:00";"Meran/o";"";"";"";"Malles - Mals";"";"Programmazione orario";"+2 MAR (x)104; +4 SEN (x)202; vedi 100";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"106";"2019-01-03 07:20:00";"2019-01-03 08:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"Programmazione orario";"+4 LAC (x)105; +2 MaV PL10 MANCANZA CONTROLLO; vedi 202";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"201";"2019-01-03 07:46:00";"2019-01-03 08:55:00";"Meran/o";"";"";"";"Malles - Mals";"2";"Programmazione orario";"+1 TEL (x)202; +2 MaV PL10 MANCANZA CONTROLLO; +4 SEN (x)106; vedi 202";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"107";"2019-01-03 08:16:00";"2019-01-03 09:38:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"108";"2019-01-03 08:20:00";"2019-01-03 09:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"Programmazione orario";"+2 LASA (x)201";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"206";"2019-01-03 09:03:00";"2019-01-03 10:13:00";"Malles - Mals";"2";"Programmazione orario";"+2 ANT.201; vedi 202";"Meran/o";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"109";"2019-01-03 09:16:00";"2019-01-03 10:38:00";"Meran/o";"";"";"";"Malles - Mals";"";"Programmazione orario";"+3 SEN (x)206; vedi 202";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"110";"2019-01-03 09:20:00";"2019-01-03 10:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"Programmazione orario";"+3 LAC (x)109; vedi 202";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"205";"2019-01-03 09:46:00";"2019-01-03 10:55:00";"Meran/o";"";"";"";"Malles - Mals";"2";"Programmazione orario";"+3 SEN (x)110; vedi 202";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"111";"2019-01-03 10:16:00";"2019-01-03 11:38:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"112";"2019-01-03 10:20:00";"2019-01-03 11:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"Programmazione orario";"+3 LASA (x)205; vedi 202";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"210";"2019-01-03 11:03:00";"2019-01-03 12:13:00";"Malles - Mals";"";"";"";"Meran/o";"";"Prolungamento sosta commerciale";"+1 SV SIL";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-03";"19-I";"113";"2019-01-03 11:16:00";"2019-01-03 12:38:00";"Meran/o";"";"";"";"Malles - Mals";"";"Prolungamento sosta commerciale";"+1 SEN (x)210; +1SV SEN-LAC;";"Singola";"SI";"";"";"";"OK";"OK"
